customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureCategory,ChargeCategory,ContractSegment,EstimatedCLV,NumServices,SeniorLabel,HasFamily,RevenueLostIfChurned,CohortMonth,RiskScore,CustomerSegment
CUST-00011,Male,0,Yes,Yes,9,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),30.78,268.86,1,0-12 mo,Low (<$35),Short-Term,307.8,1,Non-Senior,1,30.78,2022-04,5,Medium Risk
CUST-00012,Male,0,Yes,No,70,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),109.18,7637.05,0,61-72 mo,Premium (>$95),Long-Term,7751.780000000001,6,Non-Senior,1,0.0,2017-04,2,Loyal
CUST-00013,Male,0,No,No,17,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,66.66,1126.78,1,13-24 mo,High ($65-$95),Mid-Term,1199.8799999999999,3,Non-Senior,0,66.66,2021-08,4,Medium Risk
CUST-00014,Male,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),31.64,627.81,1,13-24 mo,Low (<$35),Short-Term,664.44,1,Non-Senior,0,31.64,2021-05,3,Loyal
CUST-00015,Female,0,Yes,No,13,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,79.0,1035.28,1,13-24 mo,High ($65-$95),Short-Term,1106.0,6,Non-Senior,1,79.0,2021-12,7,High Risk
CUST-00016,Male,0,Yes,No,1,Yes,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,91.42,94.88,1,0-12 mo,High ($65-$95),Short-Term,182.84,3,Non-Senior,1,91.42,2022-12,8,High Risk
CUST-00017,Female,0,Yes,Yes,29,Yes,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,97.52,2821.46,1,25-48 mo,Premium (>$95),Short-Term,2925.6,4,Non-Senior,1,97.52,2020-08,7,High Risk
CUST-00018,Female,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,85.3,5107.01,0,49-60 mo,High ($65-$95),Long-Term,5203.3,4,Non-Senior,0,0.0,2018-01,4,Medium Risk
CUST-00019,Female,1,Yes,No,42,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,78.37,3278.65,1,25-48 mo,High ($65-$95),Mid-Term,3369.9100000000003,2,Senior,1,78.37,2019-07,4,Medium Risk
CUST-00020,Male,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),28.15,861.39,0,25-48 mo,Low (<$35),Long-Term,900.8,1,Non-Senior,0,0.0,2020-06,0,Loyal
CUST-00021,Female,1,Yes,No,63,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),62.64,3945.95,0,61-72 mo,Medium ($35-$65),Long-Term,4008.96,4,Senior,1,0.0,2017-10,2,Loyal
CUST-00022,Male,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,84.49,1939.72,1,13-24 mo,High ($65-$95),Mid-Term,2027.7599999999998,3,Non-Senior,1,84.49,2021-02,4,Medium Risk
CUST-00023,Female,0,Yes,Yes,27,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,50.24,1352.2,1,25-48 mo,Medium ($35-$65),Mid-Term,1406.72,3,Non-Senior,1,50.24,2020-10,2,Loyal
CUST-00024,Female,1,Yes,No,44,Yes,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),83.96,3703.08,0,25-48 mo,High ($65-$95),Mid-Term,3778.2,3,Senior,1,0.0,2019-05,3,Loyal
CUST-00025,Female,0,No,No,46,Yes,No phone service,DSL,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,77.44,3579.2,0,25-48 mo,High ($65-$95),Mid-Term,3639.68,5,Non-Senior,0,0.0,2019-03,2,Loyal
CUST-00026,Female,0,No,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),34.35,1567.51,0,25-48 mo,Low (<$35),Long-Term,1614.45,2,Non-Senior,0,0.0,2019-03,0,Loyal
CUST-00027,Female,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.81,773.61,0,25-48 mo,Low (<$35),Long-Term,793.92,1,Non-Senior,0,0.0,2020-06,0,Loyal
CUST-00028,Female,0,No,No,17,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,69.92,1201.26,1,13-24 mo,High ($65-$95),Short-Term,1258.56,5,Non-Senior,0,69.92,2021-08,7,High Risk
CUST-00029,Female,0,No,No,39,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Mailed check,92.69,3611.34,0,25-48 mo,High ($65-$95),Long-Term,3707.6,3,Non-Senior,0,0.0,2019-10,3,Loyal
CUST-00030,Female,0,No,No,42,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,97.58,4104.34,0,25-48 mo,Premium (>$95),Mid-Term,4195.94,4,Non-Senior,0,0.0,2019-07,2,Loyal
CUST-00031,Male,0,Yes,Yes,18,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),98.4,1755.89,1,13-24 mo,Premium (>$95),Short-Term,1869.6000000000001,5,Non-Senior,1,98.4,2021-07,6,High Risk
CUST-00032,Male,0,Yes,No,57,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,No,Mailed check,69.81,3977.99,0,49-60 mo,High ($65-$95),Long-Term,4048.98,5,Non-Senior,1,0.0,2018-04,3,Loyal
CUST-00033,Female,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,97.98,374.73,1,0-12 mo,Premium (>$95),Short-Term,489.90000000000003,5,Non-Senior,1,97.98,2022-09,9,High Risk
CUST-00034,Female,0,No,No,39,Yes,No phone service,DSL,No,No,No,No,No,No,Two year,No,Mailed check,53.74,2091.58,0,25-48 mo,Medium ($35-$65),Long-Term,2149.6,2,Non-Senior,0,0.0,2019-10,2,Loyal
CUST-00035,Female,0,Yes,Yes,59,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Mailed check,77.09,4562.76,0,49-60 mo,High ($65-$95),Long-Term,4625.400000000001,6,Non-Senior,1,0.0,2018-02,2,Loyal
CUST-00036,Male,0,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,29.38,638.69,0,13-24 mo,Low (<$35),Short-Term,675.74,2,Non-Senior,0,0.0,2021-03,4,Medium Risk
CUST-00037,Female,1,Yes,Yes,43,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,99.6,4292.02,0,25-48 mo,Premium (>$95),Long-Term,4382.4,5,Senior,1,0.0,2019-06,3,Loyal
CUST-00038,Male,0,No,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,33.1,1505.23,0,25-48 mo,Low (<$35),Long-Term,1555.7,2,Non-Senior,0,0.0,2019-03,1,Loyal
CUST-00039,Male,1,Yes,Yes,18,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),96.77,1735.97,0,13-24 mo,Premium (>$95),Mid-Term,1838.6299999999999,4,Senior,1,0.0,2021-07,2,Loyal
CUST-00040,Male,0,Yes,No,4,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),108.88,428.36,0,0-12 mo,Premium (>$95),Short-Term,544.4,6,Non-Senior,1,0.0,2022-09,6,High Risk
CUST-00041,Male,0,No,Yes,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),62.66,119.54,1,0-12 mo,Medium ($35-$65),Short-Term,187.98,3,Non-Senior,1,62.66,2022-11,7,High Risk
CUST-00042,Male,0,Yes,Yes,28,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),68.28,1899.68,0,25-48 mo,High ($65-$95),Short-Term,1980.1200000000001,4,Non-Senior,1,0.0,2020-09,6,High Risk
CUST-00043,Female,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,30.15,758.73,1,25-48 mo,Low (<$35),Short-Term,783.9,2,Non-Senior,0,30.15,2020-12,3,Loyal
CUST-00044,Female,0,Yes,Yes,15,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,80.59,1196.25,0,13-24 mo,High ($65-$95),Short-Term,1289.44,5,Non-Senior,1,0.0,2021-10,6,High Risk
CUST-00045,Female,0,Yes,No,53,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),94.46,4997.01,0,49-60 mo,High ($65-$95),Long-Term,5100.839999999999,4,Non-Senior,1,0.0,2018-08,2,Loyal
CUST-00046,Female,0,No,No,59,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Mailed check,87.9,5190.38,0,49-60 mo,High ($65-$95),Long-Term,5274.0,3,Non-Senior,0,0.0,2018-02,2,Loyal
CUST-00047,Female,1,No,No,5,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,82.75,408.58,1,0-12 mo,High ($65-$95),Short-Term,496.5,6,Senior,0,82.75,2022-08,8,High Risk
CUST-00048,Male,0,Yes,No,19,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),119.0,2251.6,0,13-24 mo,Premium (>$95),Short-Term,2380.0,7,Non-Senior,1,0.0,2021-06,5,Medium Risk
CUST-00049,Female,0,No,No,63,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),74.34,4697.4,0,61-72 mo,High ($65-$95),Long-Term,4757.76,5,Non-Senior,0,0.0,2017-10,2,Loyal
CUST-00050,Female,0,No,No,17,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),101.44,1718.71,1,13-24 mo,Premium (>$95),Short-Term,1825.92,5,Non-Senior,0,101.44,2021-08,5,Medium Risk
CUST-00051,Male,0,No,No,24,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),115.26,2780.2,1,13-24 mo,Premium (>$95),Long-Term,2881.5,7,Non-Senior,0,115.26,2021-01,2,Loyal
CUST-00052,Female,0,Yes,Yes,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,32.69,1303.23,0,25-48 mo,Low (<$35),Long-Term,1340.29,2,Non-Senior,1,0.0,2019-09,0,Loyal
CUST-00053,Male,0,Yes,Yes,16,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,28.39,460.83,0,13-24 mo,Low (<$35),Mid-Term,482.63,1,Non-Senior,1,0.0,2021-09,0,Loyal
CUST-00054,Female,1,No,No,28,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,72.44,2034.95,0,25-48 mo,High ($65-$95),Short-Term,2100.7599999999998,4,Senior,0,0.0,2020-09,6,High Risk
CUST-00055,Male,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.72,342.31,1,0-12 mo,High ($65-$95),Short-Term,453.6,4,Non-Senior,0,90.72,2022-09,8,High Risk
CUST-00056,Female,0,No,No,18,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,109.84,1980.43,0,13-24 mo,Premium (>$95),Short-Term,2086.96,5,Non-Senior,0,0.0,2021-07,4,Medium Risk
CUST-00057,Female,0,Yes,Yes,24,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,76.78,1848.67,1,13-24 mo,High ($65-$95),Short-Term,1919.5,5,Non-Senior,1,76.78,2021-01,7,High Risk
CUST-00058,Male,0,Yes,No,35,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,92.86,3243.03,0,25-48 mo,High ($65-$95),Mid-Term,3342.96,5,Non-Senior,1,0.0,2020-02,2,Loyal
CUST-00059,Male,0,No,No,14,Yes,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),63.7,897.79,0,13-24 mo,Medium ($35-$65),Short-Term,955.5,3,Non-Senior,0,0.0,2021-11,5,Medium Risk
CUST-00060,Male,0,Yes,No,16,Yes,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,66.48,1077.85,1,13-24 mo,High ($65-$95),Short-Term,1130.16,4,Non-Senior,1,66.48,2021-09,7,High Risk
CUST-00061,Male,0,Yes,Yes,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.0,659.06,0,25-48 mo,Low (<$35),Long-Term,684.0,0,Non-Senior,1,0.0,2019-12,0,Loyal
CUST-00062,Male,0,Yes,No,11,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,90.73,997.56,1,0-12 mo,High ($65-$95),Short-Term,1088.76,3,Non-Senior,1,90.73,2022-02,8,High Risk
CUST-00063,Male,0,No,No,2,Yes,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),70.64,143.25,0,0-12 mo,High ($65-$95),Short-Term,211.92000000000002,4,Non-Senior,0,0.0,2022-11,7,High Risk
CUST-00064,Male,0,Yes,No,68,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Mailed check,104.02,7073.92,0,61-72 mo,Premium (>$95),Long-Term,7177.38,5,Non-Senior,1,0.0,2017-06,2,Loyal
CUST-00065,Male,0,No,No,13,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,91.34,1194.14,1,13-24 mo,High ($65-$95),Short-Term,1278.76,3,Non-Senior,0,91.34,2021-12,6,High Risk
CUST-00066,Female,0,No,No,26,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),95.36,2483.64,0,25-48 mo,Premium (>$95),Short-Term,2574.72,4,Non-Senior,0,0.0,2020-11,5,Medium Risk
CUST-00067,Female,0,No,Yes,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,28.57,503.44,0,13-24 mo,Low (<$35),Short-Term,542.83,2,Non-Senior,1,0.0,2021-07,3,Loyal
CUST-00068,Male,1,Yes,Yes,36,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),93.68,3361.86,0,25-48 mo,High ($65-$95),Mid-Term,3466.1600000000003,5,Senior,1,0.0,2020-01,2,Loyal
CUST-00069,Female,1,Yes,No,13,Yes,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),65.94,857.53,1,13-24 mo,High ($65-$95),Short-Term,923.16,4,Senior,1,65.94,2021-12,6,High Risk
CUST-00070,Female,0,No,No,4,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,119.0,481.86,0,0-12 mo,Premium (>$95),Short-Term,595.0,8,Non-Senior,0,0.0,2022-09,7,High Risk
CUST-00071,Female,0,No,Yes,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,26.8,711.21,0,25-48 mo,Low (<$35),Short-Term,750.4,2,Non-Senior,1,0.0,2020-10,4,Medium Risk
CUST-00072,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,60.16,59.5,0,0-12 mo,Medium ($35-$65),Short-Term,120.32,3,Non-Senior,0,0.0,2022-12,7,High Risk
CUST-00073,Male,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,34.26,514.66,1,13-24 mo,Low (<$35),Short-Term,548.16,2,Non-Senior,0,34.26,2021-10,4,Medium Risk
CUST-00074,Female,1,No,No,38,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,101.21,3847.96,1,25-48 mo,Premium (>$95),Mid-Term,3947.1899999999996,5,Senior,0,101.21,2019-11,2,Loyal
CUST-00075,Male,0,No,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),30.32,485.23,0,13-24 mo,Low (<$35),Mid-Term,515.44,2,Non-Senior,0,0.0,2021-09,0,Loyal
CUST-00076,Female,1,Yes,Yes,26,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),89.88,2325.02,1,25-48 mo,High ($65-$95),Mid-Term,2426.7599999999998,4,Senior,1,89.88,2020-11,3,Loyal
CUST-00077,Female,1,Yes,No,1,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),27.61,26.11,1,0-12 mo,Low (<$35),Short-Term,55.22,1,Senior,1,27.61,2022-12,5,Medium Risk
CUST-00078,Female,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,80.55,1771.13,0,13-24 mo,High ($65-$95),Short-Term,1852.6499999999999,2,Non-Senior,0,0.0,2021-03,6,High Risk
CUST-00079,Male,0,Yes,No,37,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Mailed check,66.64,2461.51,0,25-48 mo,High ($65-$95),Long-Term,2532.32,3,Non-Senior,1,0.0,2019-12,3,Loyal
CUST-00080,Female,0,No,No,31,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Mailed check,83.52,2588.77,0,25-48 mo,High ($65-$95),Mid-Term,2672.64,5,Non-Senior,0,0.0,2020-06,2,Loyal
CUST-00081,Male,1,Yes,No,41,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Electronic check,104.21,4278.05,0,25-48 mo,Premium (>$95),Long-Term,4376.82,6,Senior,1,0.0,2019-08,3,Loyal
CUST-00082,Female,0,No,Yes,29,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,87.07,2511.58,0,25-48 mo,High ($65-$95),Short-Term,2612.1,4,Non-Senior,1,0.0,2020-08,5,Medium Risk
CUST-00083,Male,1,Yes,Yes,5,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),65.27,331.97,0,0-12 mo,High ($65-$95),Short-Term,391.62,3,Senior,1,0.0,2022-08,8,High Risk
CUST-00084,Female,0,Yes,Yes,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,27.81,589.77,0,13-24 mo,Low (<$35),Mid-Term,611.8199999999999,2,Non-Senior,1,0.0,2021-04,1,Loyal
CUST-00085,Male,0,No,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),32.2,1498.99,0,25-48 mo,Low (<$35),Long-Term,1513.4,2,Non-Senior,0,0.0,2019-03,0,Loyal
CUST-00086,Male,1,Yes,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,33.01,2164.54,1,61-72 mo,Low (<$35),Long-Term,2178.66,2,Senior,1,33.01,2017-08,1,Loyal
CUST-00087,Female,0,Yes,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,32.85,2116.85,0,61-72 mo,Low (<$35),Long-Term,2135.25,1,Non-Senior,1,0.0,2017-09,1,Loyal
CUST-00088,Male,0,Yes,No,71,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),95.81,6806.13,0,61-72 mo,Premium (>$95),Long-Term,6898.32,5,Non-Senior,1,0.0,2017-03,2,Loyal
CUST-00089,Female,0,No,No,20,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Electronic check,94.96,1909.84,0,13-24 mo,High ($65-$95),Mid-Term,1994.1599999999999,4,Non-Senior,0,0.0,2021-05,4,Medium Risk
CUST-00090,Female,0,No,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),34.88,318.45,0,0-12 mo,Low (<$35),Short-Term,348.8,2,Non-Senior,0,0.0,2022-04,5,Medium Risk
CUST-00091,Female,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),103.94,1259.85,0,0-12 mo,Premium (>$95),Mid-Term,1351.22,6,Non-Senior,0,0.0,2022-01,5,Medium Risk
CUST-00092,Female,0,Yes,No,23,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,98.69,2272.47,0,13-24 mo,Premium (>$95),Short-Term,2368.56,4,Non-Senior,1,0.0,2021-02,5,Medium Risk
CUST-00093,Female,1,No,No,17,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,95.54,1615.12,0,13-24 mo,Premium (>$95),Short-Term,1719.72,4,Senior,0,0.0,2021-08,6,High Risk
CUST-00094,Female,1,Yes,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,27.96,983.98,1,25-48 mo,Low (<$35),Mid-Term,1006.5600000000001,1,Senior,1,27.96,2020-02,1,Loyal
CUST-00095,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),85.97,1792.75,0,13-24 mo,High ($65-$95),Mid-Term,1891.34,3,Non-Senior,0,0.0,2021-04,3,Loyal
CUST-00096,Female,0,No,No,35,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),72.22,2531.33,1,25-48 mo,High ($65-$95),Mid-Term,2599.92,4,Non-Senior,0,72.22,2020-02,2,Loyal
CUST-00097,Female,0,No,No,18,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),119.0,2163.55,1,13-24 mo,Premium (>$95),Short-Term,2261.0,8,Non-Senior,0,119.0,2021-07,5,Medium Risk
CUST-00098,Female,0,No,No,29,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),79.32,2288.24,1,25-48 mo,High ($65-$95),Short-Term,2379.6,6,Non-Senior,0,79.32,2020-08,5,Medium Risk
CUST-00099,Female,1,No,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,29.81,1999.43,0,61-72 mo,Low (<$35),Long-Term,2027.08,2,Senior,0,0.0,2017-07,1,Loyal
CUST-00100,Male,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,29.52,794.49,0,25-48 mo,Low (<$35),Mid-Term,826.56,1,Non-Senior,0,0.0,2020-10,0,Loyal
CUST-00101,Male,0,Yes,No,15,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,87.82,1332.7,1,13-24 mo,High ($65-$95),Short-Term,1405.12,4,Non-Senior,1,87.82,2021-10,5,Medium Risk
CUST-00102,Female,0,No,No,20,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Mailed check,111.29,2224.63,0,13-24 mo,Premium (>$95),Mid-Term,2337.09,5,Non-Senior,0,0.0,2021-05,1,Loyal
