customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00096,Female,0,No,No,35,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),72.22,2531.33,Yes
CUST-00097,Female,0,No,No,18,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),119.0,2163.55,Yes
CUST-00098,Female,0,No,No,29,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),79.32,2288.24,Yes
CUST-00099,Female,1,No,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,29.81,1999.43,No
CUST-00100,Male,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,29.52,794.49,No
CUST-00101,Male,0,Yes,No,15,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,87.82,1332.7,Yes
CUST-00102,Female,0,No,No,20,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Mailed check,111.29,2224.63,No
CUST-00103,Female,0,Yes,Yes,54,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),84.78,4563.46,No
CUST-00104,Female,0,Yes,No,7,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,69.7,483.36,Yes
CUST-00105,Female,0,Yes,Yes,10,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),68.62,693.97,Yes
CUST-00106,Female,0,Yes,No,9,Yes,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,89.38,818.21,Yes
CUST-00107,Female,0,Yes,No,26,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),71.81,1858.72,Yes
CUST-00108,Female,0,No,No,9,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,76.77,689.19,Yes
CUST-00109,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,75.39,604.13,No
CUST-00110,Male,0,Yes,No,6,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),97.23,580.18,Yes
CUST-00111,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,89.02,86.3,Yes
CUST-00112,Male,0,Yes,Yes,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),29.13,471.0,No
CUST-00113,Female,0,No,No,61,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Mailed check,89.86, ,No
CUST-00114,Female,0,No,No,33,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic),107.24,3540.63,No
CUST-00115,Male,0,No,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.72,833.45,No
CUST-00116,Female,1,No,No,25,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),26.12,633.65,Yes
CUST-00117,Male,1,Yes,Yes,10,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,69.06,702.77,No
CUST-00118,Female,0,Yes,Yes,46,Yes,No phone service,DSL,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,73.18,3374.8,No
CUST-00119,Female,1,Yes,No,30,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),81.0,2414.3,Yes
CUST-00120,Male,0,No,No,44,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),96.97,4262.74,No
CUST-00121,Female,0,Yes,No,34,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),96.67,3268.64,No
CUST-00122,Male,0,Yes,Yes,29,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),108.35,3152.61,Yes
CUST-00123,Female,0,Yes,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.66,782.44,No
CUST-00124,Male,0,No,No,35,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Mailed check,98.88,3457.51,No
CUST-00125,Male,0,Yes,Yes,21,Yes,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,91.05,1902.16,Yes
CUST-00126,Female,0,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,115.13,2760.01,No
CUST-00127,Female,0,Yes,No,19,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,52.98,984.41,Yes
CUST-00128,Male,0,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),96.9, ,Yes
CUST-00129,Female,1,Yes,No,21,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,81.07,1717.5,No
CUST-00130,Female,0,No,No,40,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),70.37,2810.25,No
CUST-00131,Female,0,No,No,31,Yes,No,DSL,No,No,No,No,No,Yes,Two year,No,Mailed check,65.23,2001.5,No
CUST-00132,Male,0,Yes,No,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.85,89.93,No
CUST-00133,Male,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.54,82.97,No
CUST-00134,Male,0,No,No,38,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.88,791.99,No
CUST-00135,Male,0,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,27.0,667.11,No
CUST-00136,Male,0,Yes,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),30.73,602.32,No
CUST-00137,Male,0,Yes,Yes,28,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),73.85,2060.97,No
CUST-00138,Male,0,Yes,No,71,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Mailed check,79.74,5660.3,No
CUST-00139,Male,0,Yes,No,31,Yes,No phone service,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),77.6,2383.12,No
CUST-00140,Male,0,Yes,No,22,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.71,443.99,Yes
CUST-00141,Female,0,Yes,No,12,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.14,252.82,No
CUST-00142,Male,0,No,No,5,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),64.94,332.08,No
CUST-00143,Female,0,Yes,No,25,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),28.23,712.06,No
CUST-00144,Female,1,No,No,45,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),66.37,2968.9,No
CUST-00145,Female,1,Yes,No,18,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),103.19,1851.4,No
CUST-00146,Male,1,No,No,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,93.1,1857.91,Yes
CUST-00147,Male,0,Yes,Yes,27,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Mailed check,81.07,2183.98,No
CUST-00148,Male,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,82.97,418.99,Yes
CUST-00149,Male,0,Yes,No,33,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),98.0,3233.06,No
CUST-00150,Female,0,No,No,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,102.17,2763.34,Yes
CUST-00151,Male,0,Yes,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,78.51,732.12,Yes
CUST-00152,Male,0,Yes,Yes,67,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),30.63,2051.03,Yes
CUST-00153,Male,1,No,No,17,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.57,1539.56,Yes
CUST-00154,Male,0,No,No,12,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),66.37,800.92,Yes
CUST-00155,Male,1,Yes,No,25,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),89.01,2213.88,No
CUST-00156,Female,0,No,No,26,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),105.57,2759.45,Yes
CUST-00157,Male,0,Yes,No,69,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,87.34,6044.36,Yes
CUST-00158,Female,0,Yes,No,1,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),97.78,90.15,Yes
CUST-00159,Male,0,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.71,384.86,Yes
CUST-00160,Female,0,Yes,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,34.56,1646.73,No
CUST-00161,Male,0,No,No,22,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),72.0,1586.04,Yes
CUST-00162,Male,0,Yes,No,42,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,109.08,4588.98,No
CUST-00163,Female,0,No,No,17,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),77.95,1318.94,No
CUST-00164,Female,1,No,No,12,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.69,338.82,Yes
CUST-00165,Female,0,No,No,20,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,97.55,1936.92,Yes
CUST-00166,Male,1,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),26.12,632.22,No
CUST-00167,Female,0,Yes,Yes,22,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),99.0,2179.22,No
CUST-00168,Male,0,No,No,12,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,58.84,686.33,Yes
CUST-00169,Male,0,Yes,No,21,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,108.06,2291.51,No
CUST-00170,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,83.3,72.39,Yes
CUST-00171,Female,0,No,No,19,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,98.51,1865.63,Yes
CUST-00172,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,101.04,705.73,Yes
CUST-00173,Male,0,No,No,15,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),112.73,1687.63,No
